0 [1.00e+00, 1.00e+00]
84800 [1.49e+00, -1.01e+00]
85000 [1.49e+00, -1.01e+00]
85200 [1.50e+00, -1.01e+00]
85400 [1.50e+00, -1.02e+00]
85600 [1.50e+00, -1.02e+00]
85800 [1.50e+00, -1.02e+00]
86000 [1.50e+00, -1.02e+00]
86200 [1.50e+00, -1.02e+00]
86400 [1.50e+00, -1.02e+00]
86600 [1.50e+00, -1.02e+00]
86800 [1.50e+00, -1.03e+00]
87000 [1.50e+00, -1.03e+00]
87200 [1.50e+00, -1.03e+00]
87400 [1.50e+00, -1.03e+00]
87600 [1.50e+00, -1.03e+00]
87800 [1.50e+00, -1.03e+00]
88000 [1.50e+00, -1.03e+00]
88200 [1.50e+00, -1.03e+00]
88400 [1.50e+00, -1.01e+00]
88600 [1.50e+00, -1.01e+00]
88800 [1.50e+00, -1.01e+00]
89000 [1.50e+00, -1.01e+00]
89200 [1.50e+00, -1.01e+00]
89400 [1.50e+00, -1.02e+00]
89600 [1.50e+00, -1.02e+00]
89800 [1.50e+00, -1.02e+00]
90000 [1.50e+00, -1.03e+00]
90200 [1.50e+00, -1.03e+00]
90400 [1.50e+00, -1.03e+00]
90600 [1.50e+00, -1.03e+00]
90800 [1.50e+00, -1.04e+00]
91000 [1.50e+00, -1.04e+00]
91200 [1.50e+00, -1.04e+00]
91400 [1.50e+00, -1.04e+00]
91600 [1.50e+00, -1.04e+00]
91800 [1.50e+00, -1.04e+00]
92000 [1.50e+00, -1.05e+00]
92200 [1.50e+00, -1.05e+00]
92400 [1.50e+00, -1.05e+00]
92600 [1.50e+00, -1.05e+00]
92800 [1.50e+00, -1.05e+00]
93000 [1.50e+00, -1.05e+00]
93200 [1.50e+00, -1.05e+00]
93400 [1.50e+00, -1.05e+00]
93600 [1.50e+00, -1.06e+00]
93800 [1.50e+00, -1.06e+00]
94000 [1.50e+00, -1.06e+00]
94200 [1.50e+00, -1.06e+00]
94400 [1.50e+00, -1.06e+00]
94600 [1.50e+00, -1.06e+00]
94800 [1.51e+00, -1.06e+00]
95000 [1.51e+00, -1.06e+00]
95200 [1.51e+00, -1.06e+00]
95400 [1.51e+00, -1.06e+00]
95600 [1.51e+00, -1.06e+00]
95800 [1.51e+00, -1.07e+00]
96000 [1.51e+00, -1.07e+00]
96200 [1.51e+00, -1.07e+00]
96400 [1.51e+00, -1.07e+00]
96600 [1.51e+00, -1.07e+00]
96800 [1.51e+00, -1.07e+00]
97000 [1.51e+00, -1.07e+00]
97200 [1.51e+00, -1.07e+00]
97400 [1.50e+00, -1.01e+00]
97600 [1.50e+00, -1.01e+00]
97800 [1.50e+00, -1.01e+00]
98000 [1.50e+00, -1.01e+00]
98200 [1.50e+00, -1.02e+00]
