"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.6208,0.9386146908,3.677436206,0.8850603953,1.78161827,2.997520214,1.173093561,0.1256886798,0.0386509383
0.6272,0.936679563,3.680054388,0.8879854574,1.782920681,2.998005448,1.172728624,0.1256945598,0.03868418074
0.6336,0.9273209564,3.678270954,0.8918460702,1.781404203,2.997797596,1.172732348,0.1254772557,0.03866199351
0.64,0.9273573756,3.675106473,0.8895737499,1.779717025,2.997258979,1.173105537,0.125421115,0.03862116555
0.6464,0.9365887802,3.67635724,0.8854092849,1.780926567,2.997354149,1.173177874,0.1256291278,0.03863763992
0.6528,0.9386837978,3.679595298,0.8865545253,1.782784638,2.997903387,1.172829499,0.1257268601,0.03867792959
0.6592,0.9299706362,3.679303082,0.8911339563,1.782121736,2.997944559,1.172670128,0.1255480832,0.0386754208
0.6656,0.9257734352,3.675761091,0.8909022829,1.779967417,2.997391299,1.172990475,0.1254012856,0.03862928744
0.672,0.9337546361,3.675489508,0.8863487331,1.780301005,2.997238771,1.17321507,0.1255566809,0.03862674894
0.6784,0.9394706622,3.678751967,0.8855220493,1.782373139,2.997744661,1.172951223,0.125728375,0.03866720001
0.6848,0.9331173843,3.679947748,0.8898685314,1.782657625,2.998023068,1.172662878,0.1256217868,0.03868346043
0.6912,0.9255884156,3.67680515,0.8917461569,1.780512034,2.99757008,1.172864041,0.125416512,0.03864276552
0.6976,0.9306428495,3.675007688,0.8877098887,1.779862163,2.997197177,1.173197255,0.1254853655,0.03862040256
0.704,0.9389141293,3.677684784,0.8850718008,1.781768355,2.997560871,1.17306996,0.1256989814,0.03865399481
0.7104,0.936100751,3.680092297,0.8883311647,1.782908329,2.998018002,1.172711216,0.1256836574,0.03868478693
0.7168,0.9268618053,3.678009241,0.8919100114,1.781235357,2.997758467,1.172752599,0.1254634703,0.03865855794
0.7232,0.9278674098,3.675028925,0.8892405268,1.779706859,2.997238792,1.173127087,0.1254299434,0.03862026302
0.7296,0.9371248191,3.676585593,0.885276705,1.781078976,2.997387701,1.173162742,0.1256439218,0.03864046617
0.736,0.938334493,3.679735258,0.8868465622,1.782840884,2.997931919,1.172804477,0.125722231,0.03867977055
0.7424,0.9293159547,3.679100988,0.8913480223,1.781973052,2.997916953,1.172679464,0.1255315438,0.03867281925
0.7488,0.9260131913,3.675575649,0.8906398048,1.779883692,2.997356748,1.173017935,0.1254027093,0.03862694202
0.7552,0.9344290547,3.67565449,0.8860961065,1.780427919,2.99725866,1.173211438,0.1255732075,0.0386288476
0.7616,0.939411214,3.678965013,0.8857059533,1.782484689,2.997783318,1.172923577,0.125730791,0.03866987206
0.768,0.9324091842,3.679845557,0.8901844268,1.782560633,2.998012584,1.172659519,0.1256059487,0.03868223689
0.7744,0.9255001965,3.676550006,0.8916125425,1.780370464,2.997528116,1.172891765,0.1254101398,0.03863944276
0.7808,0.9313273393,3.675074178,0.8873828238,1.779938023,2.997199317,1.173206004,0.1255003451,0.03862132335
0.7872,0.9391518197,3.677931761,0.8851160191,1.781914177,2.997602061,1.173045058,0.1257079966,0.03865703528
0.7936,0.9354841987,3.680105071,0.8886795996,1.782880041,2.998026494,1.172696058,0.1256715858,0.03868507451
0.8,0.9264620746,3.677741834,0.8919373808,1.781067193,2.997717836,1.172774774,0.1254507449,0.0386550435
0.8064,0.9284235424,3.6749778,0.8889008012,1.779713403,2.997222441,1.173146677,0.125440187,0.03861970429
0.8128,0.9376153294,3.676822295,0.8851748904,1.7812333,2.997423462,1.173145403,0.125657929,0.03864338591
0.8192,0.9379271139,3.679854573,0.8871559339,1.782882694,2.997957317,1.17278075,0.1257160982,0.03868136973
0.8256,0.9286933057,3.678881343,0.8915318204,1.781816765,2.997886184,1.172691474,0.1255153176,0.03866997175
0.832,0.9263203487,3.67541179,0.8903559818,1.779815594,2.997324883,1.173044538,0.1254058774,0.03862489121
0.8384,0.9350830423,3.675836986,0.8858669063,1.780562864,2.997282043,1.17320509,0.1255896219,0.03863115017
0.8448,0.9392848453,3.679164931,0.8859175133,1.78258555,2.997820344,1.172896047,0.1257316373,0.03867239849
0.8512,0.9316999098,3.67971897,0.8904832041,1.782450089,2.997997996,1.172658994,0.1255896663,0.0386806815
0.8576,0.925486191,3.676305865,0.8914463309,1.780239472,2.997487079,1.17291995,0.125405438,0.03863627676
0.864,0.932021629,3.675164921,0.8870674165,1.780027119,2.997205592,1.17321205,0.1255159588,0.03862253924
0.8704,0.9393255693,3.678174904,0.8851927269,1.78205451,2.997643383,1.173019097,0.1257156454,0.03866003431
0.8768,0.9348357496,3.680092279,0.8890272306,1.782835848,2.998030815,1.172683316,0.1256584521,0.03868503529
0.8832,0.9261261592,3.677471743,0.8919280216,1.780901709,2.997676131,1.172798644,0.1254392228,0.03865149563
0.8896,0.9290197099,3.674953339,0.8885579946,1.779736353,2.997210074,1.173164113,0.1254517273,0.03861948784
0.896,0.9380559842,3.677065171,0.8851047556,1.781388119,2.997461088,1.173126025,0.1256710197,0.03864637623
0.9024,0.9374653122,3.679951936,0.8874796997,1.782909513,2.997979319,1.172758554,0.1257085138,0.03868270637
0.9088,0.9281095587,3.678646442,0.8916832371,1.781654553,2.997852572,1.172706039,0.1254995785,0.03866691042
0.9152,0.9266912078,3.67527114,0.8900539031,1.779763704,2.997296022,1.173070012,0.1254107493,0.03862315419
0.9216,0.9357103644,3.676035124,0.8856631791,1.780704484,2.997308678,1.1731961,0.125605764,0.0386336326
0.928,0.9390924898,3.679349859,0.8861548298,1.782674717,2.997855367,1.172868904,0.1257309046,0.0386747564
0.9344,0.9309969572,3.679568975,0.8907615641,1.782327061,2.997979438,1.172661323,0.1255731002,0.03867880357
0.9408,0.925546344,3.676075443,0.891249609,1.780120542,2.997447397,1.172948295,0.1254024586,0.03863330622
0.9472,0.9327187143,3.675278695,0.8867665922,1.780128483,2.997215927,1.17321534,0.1255320419,0.03862403166
0.9536,0.9394336894,3.678412065,0.8853013067,1.782188077,2.997684442,1.172992327,0.1257218598,0.03866296967
0.96,0.9341617158,3.680053716,0.8893703243,1.78277597,2.998030902,1.172673128,0.125644377,0.0386846603
0.9664,0.925857869,3.677202075,0.8918820886,1.780740804,2.997633791,1.172823958,0.1254290363,0.03864795782
0.9728,0.929649584,3.674955472,0.8882155858,1.779775261,2.997201794,1.173179232,0.1254644333,0.03861960893
0.9792,0.938442667,3.677312002,0.8850669943,1.781542067,2.997500211,1.173104801,0.1256830747,0.03864941152
0.9856,0.9369531066,3.680026227,0.8878147427,1.782920868,2.997997689,1.172738117,0.1256995423,0.03868376322
0.992,0.9275712182,3.678398753,0.8918005967,1.781488274,2.997816468,1.172723011,0.1254844973,0.03866366876
0.9984,6.73198235,1.263833101,235.8206288,0.01352562986,2.174275558,1.753057582,0.06910783979,-0.4453588609
1.0048,3.108254316,0.1608686458,11.92136128,0.005305303531,1.350580563,4.686445545,0.02272488453,0.1280184547
1.0112,0.2089487776,0.1619765976,-5.544159527,0.002825700252,0.8498728316,3.904061202,0.03179816219,0.00996062395
1.0176,1.118379654,2.654002638,192.6944185,0.003008589222,0.38806754,5.933038093,0.1963001271,-0.2502454841
1.024,3.3631654,2.281952851,114.3176435,0.002450064384,0.2651215857,5.400424925,0.1511174459,0.05057773347
1.0304,-0.5765024491,0.5530603625,127.8178424,9.494050309E-4,0.4924099078,4.602867174,-0.05486231936,-0.05634493962
1.0368,0.2261447491,-0.1345892255,-0.7019600365,0.00198051256,0.4561864776,5.787992995,-0.02931360704,0.01881156573
1.0432,0.3853000472,1.323349992,19.76558172,0.001568732962,0.5447975566,5.128536471,0.1635142438,-0.01131836359
1.0496,2.78958802,2.590581977,224.0029329,0.001953688209,0.5811070005,5.209912483,0.1226836213,-0.123797195
1.056,0.1188945298,1.092061045,103.8042243,0.001145555274,0.8233772062,5.002273706,0.006306301202,1.307204645E-4
1.0624,-2.415379064,-0.05956462638,45.37936345,0.001286922356,0.9752291376,4.230067938,-0.07086284377,-3.818858216E-4
1.0688,-0.01947967522,0.7440597254,19.7886357,0.001463476902,1.26924692,4.946484056,0.0764203038,-0.02446074269
1.0752,-0.3261380219,2.681286122,118.7520204,0.00156051687,1.448712222,4.605799064,0.2112107801,-0.05100950665
1.0816,-7.062370919,2.974518259,12.04909471,1.243537439,2.978537014,1.460443127,0.1303482981,0.4327224932
1.088,-6.053189224,3.467969222,11.0972893,1.589657254,4.936538857,-1.436719028,0.181128715,0.2909700268
1.0944,-5.77425125,3.285803342,9.595828202,1.592796965,6.194641841,-3.252200539,0.2864359992,0.2713058067
1.1008,-4.049005074,3.392142858,6.873068318,1.611334037,6.897772723,-4.010544915,0.280315559,0.2795260337
1.1072,-2.654236873,3.548194908,5.364003866,1.690512257,6.946209613,-3.918833963,0.2678526796,0.2306091288
1.1136,-0.811226822,3.509627581,3.246097306,1.704011934,6.560086427,-3.381745394,0.2455996746,0.2068421617
1.12,2.299872805,3.591001728,1.136716442,1.733277722,5.578198714,-2.39830899,0.1817431,0.1588970293
1.1264,4.639687067,3.630919362,0.3369940485,1.751058485,4.100220458,-1.327561072,0.1583450772,0.1067532272
1.1328,6.668738344,3.663131596,-0.258380875,1.760015223,2.457849035,-0.380312998,0.1354601212,0.09301447951
1.1392,8.085684972,3.703144705,-0.3455328369,1.809271498,0.8006789401,0.4042768938,0.1164468717,0.06431737013
1.1456,7.605781976,3.718128596,-0.1397240971,1.792597816,-0.4824156098,0.9243055719,0.1273868709,0.05075182129
1.152,6.593491197,3.707236331,-0.01867042095,1.793674427,-1.19062717,1.262300433,0.1278330063,0.05055904662
1.1584,4.653272371,3.693876143,0.5026024303,1.80385258,-1.311055345,1.424029811,0.1323347952,0.04163740048
1.1648,2.361302502,3.676792618,1.145061474,1.797667773,-0.795991432,1.372141118,0.138425269,0.04317756755
1.1712,0.3638617087,3.623495933,1.931184064,1.770193669,0.132428883,1.144320117,0.1288122895,0.04061483857
1.1776,-1.268168085,3.598087398,2.829719949,1.747082999,1.301687205,0.7303216253,0.128918149,0.03380282624
1.184,-2.231112795,3.591566898,3.492194643,1.758628626,2.509107587,0.2031913437,0.1281330645,0.03675890419
1.1904,-2.922184482,3.547498653,4.134981612,1.730162672,3.568084371,-0.343045769,0.1207462338,0.03795964898
1.1968,-3.26006763,3.507305846,4.349985859,1.691576687,4.47239972,-0.8665290519,0.1137716487,0.03459377248
1.2032,-2.972048201,3.48269374,4.064679357,1.686677937,5.118057372,-1.22179039,0.1151671547,0.03611199907
1.2096,-2.485239807,3.527713112,3.623296793,1.704954502,5.510778251,-1.402908561,0.1207090046,0.03611952221
1.216,-1.802266201,3.62452609,2.981713304,1.729655857,5.656763634,-1.386897074,0.1245812137,0.03873670161
1.2224,-1.036903442,3.580012929,2.275060645,1.717552821,5.527657367,-1.161337161,0.1200155631,0.04084467131
1.2288,0.05164906758,3.59803822,1.497167994,1.740646997,5.169661644,-0.7842506775,0.1230828743,0.04281947651
1.2352,1.260084991,3.623018136,0.7639822095,1.748759089,4.616614358,-0.3085197523,0.1233045414,0.04328357285
