"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
1.2032,0.9795174075,1.097472966
1.2096,1.021139705,1.081931213
1.216,1.021139705,1.069813429
1.2224,1.021139705,1.062143616
1.2288,1.00057886,1.054957251
1.2352,1.00057886,1.045023681
1.2416,1.000641061,1.039234605
1.248,1.000641061,1.035141627
1.2544,1.000641061,1.029858787
1.2608,1.002078824,1.023615511
1.2672,1.002078824,1.017913885
1.2736,1.003451132,1.014866244
1.28,1.003451132,1.011124855
1.2864,1.003451132,1.005243679
1.2928,1.003355092,1.001208387
1.2992,1.003355092,0.9992726068
1.3056,1.003355092,0.9980899433
1.312,1.002083194,0.9960294443
1.3184,1.002083194,0.994273362
1.3248,1.000706671,0.9954474545
1.3312,1.000706671,0.9970323299
1.3376,1.000706671,0.9975318088
1.344,0.9998948344,0.9976268679
1.3504,0.9998948344,0.9988401382
1.3568,0.9998926586,1.00082379
1.3632,0.9998926586,1.001699425
1.3696,0.9998926586,1.001290689
1.376,1.000483028,1.001486091
1.3824,1.000483028,1.002309194
1.3888,1.000483028,1.002694626
1.3952,1.001019239,1.001967987
1.4016,1.001019239,1.001132422
1.408,1.001001141,1.001441288
1.4144,1.001001141,1.002017476
1.4208,1.001001141,1.002050883
1.4272,1.000506951,1.001812897
1.4336,1.000506951,1.002428275
1.44,0.9999492681,1.003850443
1.4464,0.9999492681,1.005011021
1.4528,0.9999492681,1.005524839
1.4592,0.9996667387,1.006217361
1.4656,0.9996667387,1.00754754
1.472,0.9996667387,1.008853629
1.4784,0.9997673227,1.009404924
1.4848,0.9997673227,1.009484693
1.4912,1.000094177,1.010003564
1.4976,1.000094177,1.010779628
1.504,1.000094177,1.011102787
1.5104,1.000345151,1.0107747
1.5168,1.000345151,1.010625209
1.5232,1.000345151,1.011092601
1.5296,1.00033359,1.01174158
1.536,1.00033359,1.011759727
1.5424,1.000428148,1.011657453
1.5488,1.000428148,1.011988146
1.5552,1.000428148,1.012500102
1.5616,1.000366738,1.012732944
1.568,1.000366738,1.012756989
1.5744,1.00038058,1.012934705
1.5808,1.00038058,1.013194557
1.5872,1.00038058,1.013264578
1.5936,1.000563917,1.01313446
1.6,1.000563917,1.011756954
1.6064,1.000563917,1.013378933
1.6128,0.9990587807,1.014631547
1.6192,0.9990587807,1.014978332
1.6256,0.9994905399,1.01482412
1.632,0.9994905399,1.015302548
1.6384,0.9994905399,1.016108536
1.6448,0.9997603011,1.016185067
1.6512,0.9997603011,1.015608608
1.6576,0.9998530145,1.015640779
1.664,0.9998530145,1.016250091
1.6704,0.9998530145,1.016393457
1.6768,0.9999777417,1.015633348
1.6832,0.9999777417,1.015168168
1.6896,0.9999777417,1.015460371
1.696,1.000096724,1.015591331
1.7024,1.000096724,1.014826276
1.7088,1.000133199,1.014043092
1.7152,1.000133199,1.014125625
1.7216,1.000133199,1.014394341
1.728,1.000079725,1.013887653
1.7344,1.000079725,1.013061145
1.7408,0.9999933228,1.013061304
1.7472,0.9999933228,1.013499526
1.7536,0.9999933228,1.013320387
1.76,0.999940762,1.012520299
1.7664,0.999940762,1.012346123
1.7728,0.999940762,1.012790469
1.7792,0.9999521298,1.012802541
1.7856,0.9999521298,1.011992228
1.792,1.000005373,1.011529637
1.7984,1.000005373,1.011835226
1.8048,1.000005373,1.011966707
1.8112,1.000052206,1.011219753
1.8176,1.000052206,1.010517065
1.824,1.000060286,1.010688509
1.8304,1.000060286,1.010984563
1.8368,1.000060286,1.010471864
1.8432,1.000031013,1.009676307
1.8496,1.000031013,1.009741035
1.856,1.000031013,1.010213529
1.8624,0.999991606,1.01002669
1.8688,0.999991606,1.009236844
1.8752,0.9999720035,1.009130619
1.8816,0.9999720035,1.009669971
1.888,0.9999720035,1.009772962
1.8944,0.9999809007,1.009044447
1.9008,0.9999809007,1.008683912
1.9072,1.000004615,1.009150574
1.9136,1.000004615,1.00948015
1.92,1.000004615,1.008913476
1.9264,1.00002315,1.008318084
1.9328,1.00002315,1.008629788
1.9392,1.00002315,1.00914807
1.9456,1.000023341,1.008877625
1.952,1.000023341,1.008174392
1.9584,1.000007365,1.008283945
1.9648,1.000007365,1.008926771
1.9712,1.000007365,1.009018673
1.9776,0.999989909,1.008362693
1.984,0.999989909,1.008219505
1.9904,0.999982648,1.008854329
1.9968,0.999982648,1.009260585
2.0032,0.999982648,1.00878304
2.0096,0.9999872698,1.008372896
2.016,0.9999872698,1.008845935
2.0224,0.9999872698,1.009454633
2.0288,0.9999982404,1.009257058
2.0352,0.9999982404,1.008666815
2.0416,1.00000576,1.008871218
2.048,1.00000576,1.009563939
2.0544,1.00000576,1.009699796
2.0608,1.000004082,1.00910624
2.0672,1.000004082,1.009006386
2.0736,0.9999967749,1.009660478
2.08,0.9999967749,1.010103369
2.0864,0.9999967749,1.009686791
2.0928,0.9999897652,1.009312536
2.0992,0.9999897652,1.009795178
2.1056,0.9999897652,1.010437137
2.112,0.9999871812,1.010305677
2.1184,0.9999871812,1.009754549
2.1248,0.9999907672,1.009952143
2.1312,0.9999907672,1.010648756
2.1376,0.9999907672,1.010822692
2.144,0.9999966784,1.010252332
2.1504,0.9999966784,1.010119499
2.1568,0.9999997899,1.010733879
2.1632,0.9999997899,1.011167791
2.1696,0.9999997899,1.010747719
2.176,0.9999996067,1.010327881
2.1824,0.9999996067,1.010748018
2.1888,0.9999996067,1.011349576
2.1952,0.9999971619,1.011194119
2.2016,0.9999971619,1.010603125
