,Time,I,O,err
293,0.01465,0.001799053784,-5.764717776e-05,1.1664199999622538e-07
294,0.0147,0.001838511285,-5.661527066e-05,1.1614250000971382e-07
295,0.01475,0.00187703731,-5.560567566e-05,1.1500500001274117e-07
296,0.0148,0.00191464085,-5.461819117e-05,1.1457499995287668e-07
297,0.01485,0.001951325055,-5.365276145e-05,1.1352749997722844e-07
298,0.0149,0.001987097504,-5.270921992e-05,1.1330200002865332e-07
299,0.01495,0.002021962054,-5.178749293e-05,1.124770000332509e-07
300,0.015,0.002055925085,-5.088744354e-05,1.1174249998219254e-07
301,0.01505,0.002088991116,-5.00089813e-05,1.1120800000319342e-07
302,0.0151,0.002121165608,-4.915199203e-05,1.1075399999199709e-07
303,0.01515,0.002152453529,-4.831637377e-05,1.0991450001551772e-07
304,0.0152,0.002182859741,-4.750202702e-05,1.0912050002823137e-07
305,0.01525,0.002212389586,-4.670884027e-05,1.0879299998031722e-07
306,0.0153,0.002241047419,-4.593672647e-05,1.0820950000628438e-07
307,0.01535,0.002268838986,-4.518556372e-05,1.0754299999658767e-07
308,0.0154,0.002295768302,-4.44552732e-05,1.0675100001709958e-07
309,0.01545,0.00232184137,-4.374572638e-05,1.0643499998193306e-07
310,0.0155,0.002347062099,-4.305684685e-05,1.054994999537956e-07
311,0.01555,0.002371436719,-4.23885001e-05,1.0505950005269826e-07
312,0.0156,0.002394969045,-4.174061187e-05,1.0427249997994881e-07
313,0.01565,0.00241766561,-4.11130398e-05,1.0400499996301993e-07
314,0.0157,0.002439530235,-4.050570924e-05,1.0301750006172505e-07
315,0.01575,0.002460569638,-3.991847289e-05,1.023689999869043e-07
316,0.0158,0.002480787822,-3.935125132e-05,1.0181099994836795e-07
317,0.01585,0.002500191692,-3.880389233e-05,1.0124599999876416e-07
318,0.0159,0.002518785392,-3.827631261e-05,1.0019600004892992e-07
319,0.01595,0.002536576106,-3.776835273e-05,9.960300003525324e-08
320,0.016,0.002553568181,-3.727992404e-05,9.884049998083733e-08
321,0.01605,0.002569768979,-3.681086238e-05,9.818949999775006e-08
322,0.0161,0.002585183187,-3.636107026e-05,9.719350000172988e-08
323,0.01615,0.002599818353,-3.593037859e-05,9.672649992770177e-08
324,0.0162,0.002613679438,-3.551868274e-05,9.571899994668953e-08
325,0.01625,0.002626774273,-3.512580619e-05,9.498650001445175e-08
326,0.0163,0.002639108105,-3.475163685e-05,9.40525000572151e-08
327,0.01635,0.002650688955,-3.439599314e-05,9.332750002845336e-08
328,0.0164,0.00266152255,-3.405875061e-05,9.217500005018892e-08
329,0.01645,0.002671617123,-3.373972203e-05,9.156149999214186e-08
330,0.0165,0.002680978672,-3.343877586e-05,9.058599994248018e-08
331,0.01655,0.002689615682,-3.315571818e-05,8.969100000980751e-08
332,0.0166,0.002697534583,-3.289040627e-05,8.844150003670115e-08
333,0.01665,0.002704744053,-3.264264102e-05,8.772650001223625e-08
334,0.0167,0.002711250873,-3.241227059e-05,8.6786499945736e-08
335,0.01675,0.00271706403,-3.219908773e-05,8.586500001642183e-08
336,0.0168,0.002722190654,-3.200293145e-05,8.45770000267726e-08
337,0.01685,0.002726639933,-3.182358908e-05,8.371649994759478e-08
338,0.0169,0.002730419443,-3.16608881e-05,8.242150000654577e-08
339,0.01695,0.002733538575,-3.15146103e-05,8.143750005948358e-08
340,0.017,0.00273600524,-3.138457439e-05,8.041999999958138e-08
341,0.01705,0.002737829129,-3.127055423e-05,7.931449995867909e-08
342,0.0171,0.002739018481,-3.117235984e-05,7.814049996228596e-08
343,0.01715,0.002739583179,-3.108975987e-05,7.693949996773544e-08
344,0.0172,0.002739531876,-3.10225535e-05,7.578800003240141e-08
345,0.01725,0.002738874646,-3.097050418e-05,7.472300004088533e-08
346,0.0173,0.002737620438,-3.093340319e-05,7.321899998596285e-08
347,0.01735,0.002735779604,-3.091100653e-05,7.205199999908273e-08
348,0.0174,0.002733361381,-3.090309784e-05,7.094049998324949e-08
349,0.01745,0.002730376285,-3.090942853e-05,6.984249997050648e-08
350,0.0175,0.002726833917,-3.092977261e-05,6.82585000200955e-08
351,0.01755,0.002722744951,-3.096387701e-05,6.717550002192929e-08
352,0.0176,0.002718119231,-3.101150923e-05,6.581550002844778e-08
353,0.01765,0.002712967671,-3.107240963e-05,6.438550003351126e-08
354,0.0177,0.00270730034,-3.114633956e-05,6.326999996662808e-08
355,0.01775,0.002701128277,-3.123303579e-05,6.193849998430839e-08
356,0.0178,0.002694461848,-3.133225164e-05,6.047399997996875e-08
357,0.01785,0.002687312204,-3.144372057e-05,5.905199992580282e-08
358,0.0179,0.002679689883,-3.156719106e-05,5.754150001228628e-08
359,0.01795,0.002671606226,-3.170239128e-05,5.626300010564897e-08
360,0.018,0.002663071924,-3.184906535e-05,5.5112000013970985e-08
361,0.01805,0.002654098385,-3.200693922e-05,5.374249990690305e-08
362,0.0181,0.002644696521,-3.217575088e-05,5.226050007285307e-08
363,0.01815,0.002634877793,-3.235522442e-05,5.0846499987863836e-08
364,0.0182,0.002624653206,-3.254509495e-05,4.930299989493528e-08
365,0.01825,0.002614034347,-3.274508284e-05,4.787350008431113e-08
366,0.0183,0.002603032292,-3.295492087e-05,4.634599995705785e-08
367,0.01835,0.002591658629,-3.317432881e-05,4.5114499930103136e-08
368,0.0184,0.002579924574,-3.34030354e-05,4.383700012711156e-08
369,0.01845,0.002567841696,-3.364076029e-05,4.2348000005992814e-08
370,0.0185,0.002555421218,-3.388723145e-05,4.0758999898284076e-08
371,0.01855,0.002542674765,-3.414216658e-05,3.953250006516473e-08
372,0.0186,0.002529613545,-3.440529349e-05,3.8022500001809456e-08
373,0.01865,0.002516249108,-3.467633113e-05,3.665399995588653e-08
374,0.0187,0.002502592715,-3.495500545e-05,3.5157500050120305e-08
375,0.01875,0.002488655822,-3.524103716e-05,3.366099996567756e-08
376,0.0188,0.00247444961,-3.553415365e-05,3.245500002860974e-08
377,0.01885,0.002459985513,-3.583407565e-05,3.090650007187695e-08
378,0.0189,0.002445274583,-3.614053314e-05,2.9441499947192862e-08
379,0.01895,0.00243032811,-3.645324994e-05,2.8304999978405465e-08
380,0.019,0.002415157176,-3.677195474e-05,2.678799999010495e-08
381,0.01905,0.002399772902,-3.709637496e-05,2.5350999965922938e-08
