,Time,Pe,Tm,delta,Pt,w,Te
1919,0.09595,0.2035762135,0.0,0.2721118119,0.4652163714,0.9825109898089172,1.0324681528663424
1920,0.096,0.2037251401,0.0,0.2721821894,0.4653069772,0.9824937818471337,1.0324777070031872
1921,0.09605,0.2038739923,0.0,0.2722611873,0.4653973566,0.9824765738853504,1.0324968152823075
1922,0.0961,0.2040227701,0.0,0.2723305043,0.4654875104,0.9824593652866243,1.0325159235668588
1923,0.09615,0.2041714735,0.0,0.2724105185,0.465577439,0.9824421566878981,1.0325254777091344
1924,0.0962,0.2043201026,0.0,0.2724787864,0.4656671432,0.9824249477707007,1.0325541401305303
1925,0.09625,0.2044686573,0.0,0.272559805,0.4657566233,0.9824077382165605,1.0325732484096506
1926,0.0963,0.2046171378,0.0,0.2726270363,0.46584588,0.9823905286624203,1.0325828025464956
1927,0.09635,0.2047655441,0.0,0.2727090464,0.4659349138,0.9823733187898089,1.032601910825616
1928,0.0964,0.2049138763,0.0,0.2727752543,0.4660237253,0.9823561085987261,1.032621019110167
1929,0.09645,0.2050621342,0.0,0.2728582423,0.4661123151,0.982338898089172,1.0326401273892876
1930,0.0965,0.2052103181,0.0,0.2729234409,0.4662006836,0.9823216872611465,1.0326496815261321
1931,0.09655,0.2053584278,0.0,0.2730073923,0.4662888315,0.982304476433121,1.0326687898106834
1932,0.0966,0.2055064636,0.0,0.2730715966,0.4663767593,0.9822872649681528,1.0326974522320793
1933,0.09665,0.2056544253,0.0,0.2731564961,0.4664644675,0.9822700531847133,1.032707006368924
1934,0.0967,0.2058023131,0.0,0.2732197217,0.4665519568,0.9822528414012739,1.0327165605057687
1935,0.09675,0.2059501269,0.0,0.2733055531,0.4666392276,0.9822356292993631,1.032745222927165
1936,0.0968,0.2060978669,0.0,0.2733678167,0.4667262805,0.9822184165605096,1.032764331211716
1937,0.09685,0.206245533,0.0,0.2734545631,0.4668131159,0.9822012038216561,1.0327738853539918
1938,0.0969,0.2063931253,0.0,0.273515882,0.4668997347,0.9821839907643312,1.0327929936331122
1939,0.09695,0.2065406438,0.0,0.2736035257,0.466986137,0.982166777388535,1.0328121019068015
1940,0.097,0.2066880885,0.0,0.2736639179,0.4670723237,0.9821495636942675,1.0328312101913526
1941,0.09705,0.2068354596,0.0,0.2737524406,0.4671582952,0.9821323496815286,1.032850318470473
1942,0.0971,0.206982757,0.0,0.2738119249,0.467244052,0.9821151353503186,1.0328694267495935
1943,0.09715,0.2071299808,0.0,0.2739013073,0.4673295946,0.982097920700637,1.0328789808918692
1944,0.0972,0.2072771309,0.0,0.2739599033,0.4674149238,0.9820807060509555,1.0328980891709896
1945,0.09725,0.2074242075,0.0,0.2740501257,0.4675000397,0.9820634907643312,1.0329171974555407
1946,0.0973,0.2075712106,0.0,0.2741078534,0.4675849433,0.982046275477707,1.032936305734661
1947,0.09735,0.2077181402,0.0,0.2741988953,0.4676696347,0.9820290595541401,1.0329554140137813
1948,0.0974,0.2078649964,0.0,0.2742557757,0.4677541148,0.9820118436305731,1.032964968150626
1949,0.09745,0.2080117791,0.0,0.2743476159,0.4678383839,0.981994627388535,1.0329840764297464
1950,0.0975,0.2081584885,0.0,0.2744036704,0.4679224426,0.9819774108280255,1.0330031847142978
1951,0.09755,0.2083051246,0.0,0.2744962871,0.4680062913,0.9819601939490445,1.033022292993418
1952,0.0976,0.2084516873,0.0,0.2745515378,0.4680899308,0.9819429767515924,1.0330414012725384
1953,0.09765,0.2085981768,0.0,0.2746449087,0.4681733614,0.9819257592356688,1.0330605095570895
1954,0.0977,0.208744593,0.0,0.2746993784,0.4682565837,0.9819085414012738,1.03307961783621
1955,0.09775,0.2088909361,0.0,0.2747934805,0.4683395982,0.9818913232484077,1.0330891719730548
1956,0.0978,0.209037206,0.0,0.2748471923,0.4684224055,0.9818741050955414,1.0331082802521752
1957,0.09785,0.2091834028,0.0,0.2749420021,0.4685050059,0.9818568863057325,1.0331369426735713
1958,0.0979,0.2093295265,0.0,0.2749949798,0.4685874001,0.9818396671974523,1.0331464968158468
1959,0.09795,0.2094755772,0.0,0.2750904734,0.4686695886,0.9818224480891721,1.0331560509581224
1960,0.098,0.2096215548,0.0,0.2751427413,0.4687515719,0.9818052286624204,1.0331751592372427
1961,0.09805,0.2097674595,0.0,0.2752388941,0.4688333504,0.9817880089171974,1.0332038216532076
1962,0.0981,0.2099132913,0.0,0.2752904769,0.4689149249,0.9817707885350319,1.033222929937759
1963,0.09815,0.2100590502,0.0,0.275387264,0.4689962955,0.9817535681528662,1.0332324840800347
1964,0.0982,0.2102047361,0.0,0.275438187,0.4690774632,0.9817363474522293,1.0332515923537242
1965,0.09825,0.2103503493,0.0,0.2755355828,0.469158428,0.9817191264331211,1.0332611464959998
1966,0.0983,0.2104958897,0.0,0.2755858717,0.4692391908,0.9817019054140127,1.033280254780551
1967,0.09835,0.2106413574,0.0,0.2756838505,0.4693197518,0.9816846837579617,1.0333089171965162
1968,0.0984,0.2107867523,0.0,0.2757335312,0.4694001118,0.9816674617834394,1.0333184713333607
1969,0.09845,0.2109320745,0.0,0.2758320667,0.469480271,0.9816502398089173,1.0333375796179118
1970,0.0985,0.2110773241,0.0,0.2758811659,0.4695602302,0.9816330171974522,1.0333566879024634
1971,0.09855,0.2112225011,0.0,0.2759802315,0.4696399897,0.9816157945859871,1.0333757961761527
1972,0.0986,0.2113676056,0.0,0.2760287758,0.4697195501,0.9815985713375797,1.033394904455273
1973,0.09865,0.2115126375,0.0,0.2761283445,0.4697989118,0.981581348089172,1.0334044586029798
1974,0.0987,0.2116575969,0.0,0.2761763611,0.4698780754,0.9815641245222929,1.0334235668821001
1975,0.09875,0.2118024838,0.0,0.2762764057,0.4699570412,0.9815469006369426,1.0334426751557895
1976,0.0988,0.2119472983,0.0,0.2763239221,0.4700358101,0.9815296764331211,1.0334617834349098
1977,0.09885,0.2120920405,0.0,0.276424415,0.4701143821,0.9815124519108281,1.0334808917194613
1978,0.0989,0.2122367102,0.0,0.2764714588,0.4701927581,0.9814952270700638,1.0335000000040124
1979,0.09895,0.2123813077,0.0,0.2765723723,0.4702709382,0.981478001910828,1.033509554140857
1980,0.099,0.2125258329,0.0,0.2766189713,0.4703489233,0.9814607767515924,1.0335286624199773
1981,0.09905,0.2126702858,0.0,0.2767202774,0.4704267135,0.981443550955414,1.0335573248413734
1982,0.0991,0.2128146665,0.0,0.2767664599,0.4705043097,0.9814263248407643,1.0335668789782182
1983,0.09915,0.2129589751,0.0,0.2768681302,0.470581712,0.9814090987261147,1.0335764331204937
1984,0.0992,0.2131032115,0.0,0.2769139246,0.4706589211,0.9813918722929936,1.0336050955418896
1985,0.09925,0.2132473759,0.0,0.2770159308,0.4707359374,0.9813746452229299,1.0336242038210102
1986,0.0993,0.2133914681,0.0,0.2770613655,0.4708127615,0.9813574181528663,1.0336337579632857
1987,0.09935,0.2135354884,0.0,0.2771636791,0.4708893937,0.9813401907643312,1.033652866242406
1988,0.0994,0.2136794366,0.0,0.2772087827,0.4709658346,0.9813229630573249,1.0336719745215264
1989,0.09945,0.2138233129,0.0,0.277311375,0.4710420846,0.9813057350318471,1.0336910828060777
1990,0.0995,0.2139671173,0.0,0.2773561762,0.4711181443,0.981288506687898,1.033710191085198
1991,0.09955,0.2141108498,0.0,0.2774590184,0.471194014,0.9812712780254776,1.0337197452220428
1992,0.0996,0.2142545105,0.0,0.2775035461,0.4712696945,0.9812540493630573,1.0337388535011631
1993,0.09965,0.2143980993,0.0,0.2776066095,0.4713451858,0.9812368200636943,1.033767515922559
1994,0.0997,0.2145416164,0.0,0.2776508925,0.4714204888,0.9812195904458598,1.0337770700648348
1995,0.09975,0.2146850617,0.0,0.2777541482,0.4714956036,0.9812023608280255,1.033796178343955
1996,0.0998,0.2148284353,0.0,0.2777982153,0.471570531,0.9811851305732484,1.0338152866230754
1997,0.09985,0.2149717373,0.0,0.2779016344,0.4716452712,0.9811679003184713,1.033824840765351
1998,0.0999,0.2151149676,0.0,0.2779455146,0.471719825,0.9811506697452229,1.0338439490444715
1999,0.09995,0.2152581264,0.0,0.2780490684,0.4717941925,0.9811334388535032,1.0338630573235918
2000,0.1,0.2154012135,0.0,0.2780927903,0.4718683744,0.9811162076433121,1.0338821656027122
2001,0.10005,0.2155442292,0.0,0.27819645,0.471942371,0.9810989761146498,1.0339012738872633
2002,0.1001,0.2156871734,0.0,0.2782400426,0.472016183,0.9810817442675158,1.0339203821663836
2003,0.10015,0.2158300461,0.0,0.2783437793,0.4720898106,0.9810645121019109,1.033939490445504
2004,0.1002,0.2159728474,0.0,0.2783872712,0.4721632545,0.9810472796178343,1.0339585987300552
2005,0.10025,0.2161155773,0.0,0.2784910564,0.4722365149,0.9810300468152866,1.0339681528669002
2006,0.1003,0.2162582359,0.0,0.2785344763,0.4723095925,0.9810128140127388,1.0339872611460204
2007,0.10035,0.2164008232,0.0,0.2786382815,0.4723824875,0.9809955805732483,1.0340063694251407
2008,0.1004,0.2165433392,0.0,0.2786816576,0.4724552007,0.980978347133758,1.034025477704261
2009,0.10045,0.2166857839,0.0,0.2787854545,0.4725277322,0.9809611130573249,1.034044585988812
2010,0.1005,0.2168281575,0.0,0.2788288153,0.4726000828,0.9809438789808916,1.0340541401310879
2011,0.10055,0.2169704599,0.0,0.2789325756,0.4726722525,0.9809266445859872,1.0340732484047774
2012,0.1006,0.2171126912,0.0,0.2789759491,0.4727442423,0.9809094098726114,1.0340923566838978
2013,0.10065,0.2172548513,0.0,0.279079645,0.4728160521,0.9808921748407644,1.034111464968449
2014,0.1007,0.2173969404,0.0,0.279123059,0.4728876829,0.9808749394904459,1.0341305732475694
2015,0.10075,0.2175389585,0.0,0.2792266627,0.4729591346,0.9808577038216562,1.0341496815266897
2016,0.1008,0.2176809056,0.0,0.2792701449,0.4730304081,0.9808404678343949,1.034168789811241
2017,0.10085,0.2178227818,0.0,0.2793736288,0.4731015035,0.9808232315286625,1.0341783439535164
2018,0.1009,0.217964587,0.0,0.2794172067,0.4731724216,0.9808059952229299,1.0341974522272062
2019,0.10095,0.2181063214,0.0,0.2795205437,0.4732431625,0.9807887582802548,1.034226114648602
2020,0.101,0.2182479849,0.0,0.2795642442,0.4733137269,0.9807715210191082,1.0342356687908776
2021,0.10105,0.2183895776,0.0,0.2796674073,0.473384115,0.9807542837579618,1.0342452229277224
2022,0.1011,0.2185310995,0.0,0.2797112573,0.4734543275,0.980737046178344,1.0342738853491185
2023,0.10115,0.2186725507,0.0,0.27981422,0.4735243645,0.9807198079617835,1.0342929936336696
2024,0.1012,0.2188139312,0.0,0.2798582459,0.4735942269,0.9807025697452229,1.0343025477705143
2025,0.10125,0.218955241,0.0,0.2799609818,0.4736639147,0.9806853312101912,1.0343216560496344
2026,0.1013,0.2190964801,0.0,0.2800052098,0.4737334286,0.9806680923566878,1.034340764334186
2027,0.10135,0.2192376487,0.0,0.280107693,0.4738027689,0.9806508531847133,1.0343598726133063
2028,0.1014,0.2193787467,0.0,0.2801521487,0.4738719362,0.9806336136942674,1.0343789808924266
2029,0.10145,0.2195197743,0.0,0.2802543539,0.4739409307,0.9806163738853503,1.0343885350292714
2030,0.1015,0.2196607312,0.0,0.2802990626,0.4740097531,0.9805991340764331,1.0344076433083917
2031,0.10155,0.2198016178,0.0,0.2804009646,0.4740784035,0.9805818936305734,1.0344363057297876
2032,0.1016,0.2199424339,0.0,0.2804459513,0.4741468826,0.9805646528662422,1.0344458598774942
