"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU"
0.02425,0.0,1.015727611
0.0243,0.0,1.015727557
0.02435,0.0,1.015727504
0.0244,0.0,1.01572745
0.02445,0.0,1.015727396
0.0245,0.0,1.015727342
0.02455,0.0,1.015727288
0.0246,0.0,1.015727234
0.02465,0.0,1.01572718
0.0247,0.0,1.015727127
0.02475,0.0,1.015727073
0.0248,0.0,1.015727019
0.02485,0.0,1.015726965
0.0249,0.0,1.015726911
0.02495,0.0,1.015726857
0.025,0.0,1.015726803
0.02505,0.0,1.01572675
0.0251,0.0,1.015726696
0.02515,0.0,1.015726642
0.0252,0.0,1.015726588
0.02525,0.0,1.015726534
0.0253,0.0,1.01572648
0.02535,0.0,1.015726426
0.0254,0.0,1.015726373
0.02545,0.0,1.015726319
0.0255,0.0,1.015726265
0.02555,0.0,1.015726211
0.0256,0.0,1.015726157
0.02565,0.0,1.015726103
0.0257,0.0,1.01572605
0.02575,0.0,1.015725996
0.0258,0.0,1.015725942
0.02585,0.0,1.015725888
0.0259,0.0,1.015725834
0.02595,0.0,1.01572578
0.026,0.0,1.015725726
0.02605,0.0,1.015725673
0.0261,0.0,1.015725619
0.02615,0.0,1.015725565
0.0262,0.0,1.015725511
0.02625,0.0,1.015725457
0.0263,0.0,1.015725403
0.02635,0.0,1.015725349
0.0264,0.0,1.015725296
0.02645,0.0,1.015725242
0.0265,0.0,1.015725188
0.02655,0.0,1.015725134
0.0266,0.0,1.01572508
0.02665,0.0,1.015725026
0.0267,0.0,1.015724973
0.02675,0.0,1.015724919
0.0268,0.0,1.015724865
0.02685,0.0,1.015724811
0.0269,0.0,1.015724757
0.02695,0.0,1.015724703
0.027,0.0,1.015724649
0.02705,0.0,1.015724596
0.0271,0.0,1.015724542
0.02715,0.0,1.015724488
0.0272,0.0,1.015724434
0.02725,0.0,1.01572438
0.0273,0.0,1.015724326
0.02735,0.0,1.015724273
0.0274,0.0,1.015724219
0.02745,0.0,1.015724165
0.0275,0.0,1.015724111
0.02755,0.0,1.015724057
0.0276,0.0,1.015724003
0.02765,0.0,1.015723949
0.0277,0.0,1.015723896
0.02775,0.0,1.015723842
0.0278,0.0,1.015723788
0.02785,0.0,1.015723734
0.0279,0.0,1.01572368
0.02795,0.0,1.015723626
0.028,0.0,1.015723573
0.02805,0.0,1.015723519
0.0281,0.0,1.015723465
0.02815,0.0,1.015723411
0.0282,0.0,1.015723357
0.02825,0.0,1.015723303
0.0283,0.0,1.015723249
0.02835,0.0,1.015723196
0.0284,0.0,1.015723142
0.02845,0.0,1.015723088
0.0285,0.0,1.015723034
0.02855,0.0,1.01572298
0.0286,0.0,1.015722926
0.02865,0.0,1.015722873
0.0287,0.0,1.015722819
0.02875,0.0,1.015722765
0.0288,0.0,1.015722711
0.02885,0.0,1.015722657
0.0289,0.0,1.015722603
0.02895,0.0,1.015722549
0.029,0.0,1.015722496
0.02905,0.0,1.015722442
0.0291,0.0,1.015722388
0.02915,0.0,1.015722334
0.0292,0.0,1.01572228
0.02925,0.0,1.015722226
0.0293,0.0,1.015722173
0.02935,0.0,1.015722119
0.0294,0.0,1.015722065
0.02945,0.0,1.015722011
0.0295,0.0,1.015721957
0.02955,0.0,1.015721903
0.0296,0.0,1.01572185
0.02965,0.0,1.015721796
0.0297,0.0,1.015721742
0.02975,0.0,1.015721688
0.0298,0.0,1.015721634
0.02985,0.0,1.01572158
0.0299,0.0,1.015721526
0.02995,0.0,1.015721473
0.03,0.0,1.015721419
0.03005,0.0,1.015721365
0.0301,0.0,1.015721311
0.03015,0.0,1.015721257
0.0302,0.0,1.015721203
0.03025,0.0,1.01572115
0.0303,0.0,1.015721096
0.03035,0.0,1.015721042
0.0304,0.0,1.015720988
0.03045,0.0,1.015720934
0.0305,0.0,1.01572088
0.03055,0.0,1.015720826
0.0306,0.0,1.015720773
0.03065,0.0,1.015720719
0.0307,0.0,1.015720665
0.03075,0.0,1.015720611
0.0308,0.0,1.015720557
0.03085,0.0,1.015720503
0.0309,0.0,1.01572045
0.03095,0.0,1.015720396
0.031,0.0,1.015720342
0.03105,0.0,1.015720288
0.0311,0.0,1.015720234
0.03115,0.0,1.01572018
0.0312,0.0,1.015720127
0.03125,0.0,1.015720073
0.0313,0.0,1.015720019
0.03135,0.0,1.015719965
0.0314,0.0,1.015719911
0.03145,0.0,1.015719857
0.0315,0.0,1.015719804
0.03155,0.0,1.01571975
0.0316,0.0,1.015719696
0.03165,0.0,1.015719642
0.0317,0.0,1.015719588
0.03175,0.0,1.015719534
0.0318,0.0,1.01571948
0.03185,0.0,1.015719427
0.0319,0.0,1.015719373
0.03195,0.0,1.015719319
0.032,0.0,1.015719265
0.03205,0.0,1.015719211
0.0321,0.0,1.015719157
0.03215,0.0,1.015719104
0.0322,0.0,1.01571905
0.03225,0.0,1.015718996
0.0323,0.0,1.015718942
0.03235,0.0,1.015718888
0.0324,0.0,1.015718834
0.03245,0.0,1.015718781
0.0325,0.0,1.015718727
0.03255,0.0,1.015718673
0.0326,0.0,1.015718619
0.03265,0.0,1.015718565
0.0327,0.0,1.015718511
0.03275,0.0,1.015718458
0.0328,0.0,1.015718404
0.03285,0.0,1.01571835
0.0329,0.0,1.015718296
0.03295,0.0,1.015718242
0.033,0.0,1.015718188
0.03305,0.0,1.015718134
0.0331,0.0,1.015718081
0.03315,0.0,1.015718027
0.0332,0.0,1.015717973
0.03325,0.0,1.015717919
0.0333,0.0,1.015717865
0.03335,0.0,1.015717811
0.0334,0.0,1.015717758
0.03345,0.0,1.015717704
0.0335,0.0,1.01571765
0.03355,0.0,1.015717596
0.0336,0.0,1.015717542
0.03365,0.0,1.015717488
0.0337,0.0,1.015717435
0.03375,0.0,1.015717381
0.0338,0.0,1.015717327
0.03385,0.0,1.015717273
0.0339,0.0,1.015717219
0.03395,0.0,1.015717165
0.034,0.0,1.015717112
0.03405,0.0,1.015717058
0.0341,0.0,1.015717004
0.03415,0.0,1.01571695
0.0342,0.0,1.015716896
0.03425,0.0,1.015716842
0.0343,0.0,1.015716789
0.03435,0.0,1.015716735
0.0344,0.0,1.015716681
0.03445,0.0,1.015716627
0.0345,0.0,1.015716573
0.03455,0.0,1.015716519
0.0346,0.0,1.015716466
0.03465,0.0,1.015716412
0.0347,0.0,1.015716358
0.03475,0.0,1.015716304
0.0348,0.0,1.01571625
0.03485,0.0,1.015716196
0.0349,0.0,1.015716143
0.03495,0.0,1.015716089
0.035,0.0,1.015716035
0.03505,0.0,1.015715981
0.0351,0.0,1.015715927
0.03515,0.0,1.015715873
0.0352,0.0,1.01571582
0.03525,0.0,1.015715766
0.0353,0.0,1.015715712
0.03535,0.0,1.015715658
0.0354,0.0,1.015715604
