"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0047,1.442826688,0.213354166,0.2613044206,-0.08382439969,-0.1026635036,376.9909489,0.1254125467,0.03862269359,-0.7689036982,0.3813748611,0.4670869052,-0.01447012504,-0.01772221143,0.204915286,-0.191413043,-0.01350202581,0.125408345,0.03862390497,0.9594679175,-0.7680949862,0.3785589987,-0.2314907511,-0.1469734149
0.0048,1.48052578,0.2133406063,0.2612878134,-0.08382605291,-0.1026655284,376.9908869,0.1254084236,0.03862390549,-0.7689023007,0.3813850396,0.4670993712,-0.01447394139,-0.01772688549,0.2086287966,-0.1865189043,-0.02210967311,0.1254051651,0.03862529786,0.9594673585,-0.768061205,0.380140097,-0.2198989119,-0.1601456363
0.0049,1.518224865,0.2133283651,0.2612728211,-0.08382770823,-0.1026675557,376.990826,0.1254052437,0.03862529838,-0.7689008473,0.3813959096,0.4671126842,-0.01447726512,-0.01773095621,0.2120473077,-0.1813612651,-0.03068582174,0.1254029507,0.03862686454,0.9594667812,-0.7680322503,0.3811819216,-0.2079939146,-0.173091884
0.005,1.555923945,0.2133175215,0.2612595404,-0.08382935593,-0.1026695737,376.9907667,0.1254030294,0.03862686506,-0.7688993462,0.3814074064,0.4671267649,-0.01448007068,-0.0177343923,0.2151660674,-0.1759473579,-0.03921848728,0.125401718,0.03862859724,0.9594661889,-0.768008314,0.3816828324,-0.1957925078,-0.1857937707
0.0051,1.593623019,0.2133081459,0.2612480577,-0.08383098622,-0.1026715704,376.9907093,0.1254017966,0.03862859776,-0.7688978064,0.3814194592,0.4671415265,-0.01448233484,-0.01773716532,0.217980729,-0.1702847589,-0.04769574694,0.1254014761,0.03863048686,0.9594655853,-0.7679895558,0.3816419463,-0.1833118769,-0.1982332286
0.0052,1.631322087,0.2133003003,0.2612384489,-0.08383258877,-0.1026735332,376.9906542,0.1254015547,0.03863048737,-0.7688962368,0.381431993,0.4671568772,-0.01448404387,-0.01773925845,0.2204873556,-0.1643813782,-0.05610575356,0.1254022285,0.03863252085,0.9594649737,-0.7679761035,0.3810591401,-0.1705696129,-0.2103925442
0.0053,1.66902115,0.2132940369,0.2612307778,-0.08383415279,-0.1026754487,376.9906016,0.1254023072,0.03863252137,-0.7688946467,0.3814449282,0.4671727195,-0.01448518245,-0.01774065292,0.2226824247,-0.1582454518,-0.0644367487,0.1254039716,0.0386346875,0.9594643578,-0.7679680504,0.3799350529,-0.1575836928,-0.22225438
0.0054,1.706720207,0.2132893981,0.2612250964,-0.08383566818,-0.1026773046,376.990552,0.1254040502,0.03863468802,-0.7688930454,0.3814581812,0.4671889511,-0.01448573816,-0.01774133352,0.2245628326,-0.1518855308,-0.07267707761,0.1254066947,0.03863697393,0.9594637412,-0.7679654543,0.3782710889,-0.1443724609,-0.2338017958
0.0055,1.74441926,0.2132864158,0.2612214439,-0.08383712436,-0.1026790881,376.9905056,0.1254067733,0.03863697445,-0.7688914423,0.3814716653,0.4672054657,-0.01448570664,-0.01774129491,0.226125898,-0.1453104713,-0.08081520287,0.1254103809,0.03863936456,0.9594631276,-0.7679683374,0.3760694176,-0.1309545961,-0.2450182819
0.0056,1.782118309,0.2132851113,0.2612198462,-0.08383851054,-0.1026807858,376.9904628,0.1254104595,0.03863936508,-0.768889847,0.381485292,0.4672221549,-0.01448508185,-0.0177405297,0.2273693661,-0.1385294252,-0.08883971768,0.1254150064,0.03864184502,0.9594625206,-0.7679766852,0.3733329758,-0.1173491011,-0.2558877718
0.0057,1.819817353,0.2132854949,0.261220316,-0.0838398165,-0.1026823853,376.9904238,0.125415085,0.03864184554,-0.7688882689,0.3814989709,0.467238908,-0.01448387209,-0.01773904805,0.2282914119,-0.1315518292,-0.09673936063,0.1254205419,0.03864439626,0.9594619239,-0.7679904477,0.3700654642,-0.10357526,-0.2663946813
0.0058,1.857516394,0.2132875658,0.2612228523,-0.08384103155,-0.1026838734,376.9903888,0.1254206205,0.03864439678,-0.7688867172,0.3815126118,0.4672556146,-0.0144820814,-0.01773685493,0.2288906442,-0.1243873953,-0.104503028,0.1254269515,0.03864700209,0.9594613408,-0.7680095389,0.3662713451,-0.0896526203,-0.2765239239
0.0059,1.895215431,0.213291312,0.2612274404,-0.08384214665,-0.1026852391,376.9903581,0.1254270301,0.03864700261,-0.7688852012,0.3815261237,0.4672721633,-0.01447971981,-0.01773396257,0.2291661078,-0.1170460992,-0.1121197894,0.1254341935,0.03864964464,0.9594607749,-0.7680338372,0.3619558407,-0.07560096651,-0.2862609359
0.006,1.932914466,0.2132967106,0.2612340524,-0.08384315255,-0.1026864711,376.9903319,0.1254342721,0.03864964516,-0.7688837298,0.3815394174,0.4672884447,-0.01447680339,-0.01773039071,0.2291172869,-0.1095381688,-0.119578901,0.1254422211,0.03865230512,0.9594602294,-0.7680631871,0.3571249272,-0.06144028849,-0.2955917016
0.0061,1.970613498,0.2133037277,0.2612426466,-0.08384404064,-0.1026875588,376.9903104,0.1254422997,0.03865230564,-0.7688823116,0.3815524053,0.4673043516,-0.01447335079,-0.01772616216,0.2287441075,-0.1018740734,-0.1268698193,0.1254509823,0.03865496514,0.9594597077,-0.7680973999,0.3517853277,-0.04719075283,-0.3045027758
0.0062,2.008312528,0.2133123188,0.2612531685,-0.08384480331,-0.1026884928,376.9902936,0.125451061,0.03865496566,-0.7688809551,0.3815650027,0.4673197802,-0.01446938326,-0.01772130294,0.2280469398,-0.09406451138,-0.1339822162,0.1254604206,0.03865760664,0.9594592126,-0.7681362555,0.3459445092,-0.03287268107,-0.3129813015
0.0063,2.046011557,0.2133224292,0.2612655511,-0.08384543366,-0.1026892649,376.9902818,0.1254604993,0.03865760715,-0.768879668,0.3815771286,0.4673346313,-0.01446493216,-0.01771585147,0.2270265993,-0.08612039745,-0.1409059926,0.1254704761,0.03866020953,0.9594587472,-0.7681795052,0.3396106688,-0.01850650777,-0.3210150387
0.0064,2.083710584,0.2133339941,0.2612797151,-0.08384592551,-0.1026898673,376.9902749,0.1254705548,0.03866021004,-0.7688784578,0.3815887062,0.4673488109,-0.01446002678,-0.01770984364,0.2256843495,-0.07805285107,-0.1476312925,0.125481085,0.03866275641,0.959458314,-0.7682268725,0.3327927242,-0.004112754453,-0.3285923808
0.0065,2.121409612,0.2133469397,0.2612955703,-0.08384627463,-0.1026902948,376.990273,0.1254811636,0.03866275693,-0.7688773316,0.3815996634,0.4673622307,-0.01445469875,-0.01770331816,0.2240219022,-0.06987318174,-0.1541485179,0.1254921802,0.03866523045,0.9594579156,-0.7682780562,0.3255003051,0.01028799663,-0.3357023723
0.0066,2.159108639,0.2133611837,0.2613130155,-0.08384647754,-0.1026905434,376.9902761,0.1254922588,0.03866523097,-0.7688762958,0.3816099335,0.4673748089,-0.01444898641,-0.01769632201,0.2220414174,-0.06159287522,-0.1604483435,0.1255036927,0.03866761413,0.9594575543,-0.7683327325,0.3177437355,0.02467514367,-0.3423347323
0.0067,2.196807667,0.2133766356,0.2613319401,-0.08384653172,-0.1026906097,376.9902843,0.1255037713,0.03866761465,-0.7688753562,0.3816194559,0.4673864714,-0.01444292474,-0.017688898,0.2197455042,-0.05322357978,-0.1665217299,0.125515551,0.03866989302,0.9594572319,-0.7683905577,0.3095340276,0.03902808117,-0.348479864
