"",Time,theta,Id,Idrms,Iq,Iqrms,Ws,p_test,q_test,Tmpu,Vd,Vdrms,Vq,Vqrms,Ia,Ib,Ic,ph,qh,Wr,Te,Va,Vb,Vc,phCalcPeak,phCalcRMS,qhCalcPeak,qhCalcRMS,edp,eqp,edp_dt,eqp_dt,edp_Calc,eqp_Calc
34,0.0034,2.900525,0.213745,0.261783,-0.083826,-0.102666,376.991122,0.125706,0.038683,-0.768877,0.381625,0.467393,-0.014320,-0.017539,0.125270,0.104010,-0.229281,0.125712,0.038682,0.959459,-0.769562,0.091106,0.275637,-0.366713,0.124156,0.124156,0.043394,0.043394,0.359910,-0.057043,-0.094681,0.014794,0.899078,4.542218
35,0.0035,2.938224,0.213761,0.261802,-0.083825,-0.102664,376.991184,0.125713,0.038682,-0.768878,0.381617,0.467384,-0.014316,-0.017533,0.117930,0.111664,-0.229594,0.125718,0.038681,0.959459,-0.769606,0.077057,0.285398,-0.362429,0.124162,0.124162,0.043393,0.043393,0.359902,-0.057042,-0.102691,0.012483,0.899066,4.542573
36,0.0036,2.975923,0.213776,0.261821,-0.083823,-0.102662,376.991246,0.125718,0.038681,-0.768879,0.381608,0.467373,-0.014312,-0.017528,0.110420,0.119159,-0.229579,0.125722,0.038680,0.959460,-0.769645,0.062899,0.294753,-0.357629,0.124167,0.124167,0.043392,0.043392,0.359894,-0.057041,-0.110115,0.010161,0.899055,4.542905
37,0.0037,3.013622,0.213789,0.261837,-0.083821,-0.102660,376.991307,0.125722,0.038680,-0.768881,0.381599,0.467361,-0.014308,-0.017524,0.102752,0.126484,-0.229236,0.125726,0.038678,0.959460,-0.769680,0.048653,0.303687,-0.352320,0.124172,0.124172,0.043391,0.043391,0.359884,-0.057041,-0.116930,0.007813,0.899046,4.543214
38,0.0038,3.051321,0.213802,0.261853,-0.083820,-0.102658,376.991367,0.125726,0.038678,-0.768882,0.381589,0.467349,-0.014305,-0.017520,0.094938,0.133628,-0.228566,0.125729,0.038677,0.959461,-0.769710,0.034339,0.312188,-0.346511,0.124175,0.124175,0.043389,0.043389,0.359875,-0.057040,-0.123110,0.005441,0.899039,4.543497
39,0.0039,3.089020,0.213813,0.261866,-0.083818,-0.102656,376.991425,0.125729,0.038677,-0.768883,0.381579,0.467336,-0.014302,-0.017517,0.086987,0.140582,-0.227570,0.125730,0.038675,0.959461,-0.769737,0.019977,0.320244,-0.340209,0.124178,0.124178,0.043388,0.043388,0.359864,-0.057040,-0.128641,0.003097,0.899034,4.543754
40,0.0040,3.126719,0.213823,0.261879,-0.083816,-0.102654,376.991481,0.125731,0.038675,-0.768885,0.381568,0.467323,-0.014300,-0.017514,0.078913,0.147336,-0.226248,0.125731,0.038674,0.959462,-0.769758,0.005589,0.327844,-0.333424,0.124180,0.124180,0.043386,0.043386,0.359854,-0.057040,-0.133508,0.000767,0.899031,4.543982
41,0.0041,3.164418,0.213831,0.261889,-0.083815,-0.102652,376.991535,0.125732,0.038674,-0.768886,0.381557,0.467309,-0.014298,-0.017512,0.070725,0.153878,-0.224604,0.125732,0.038672,0.959462,-0.769775,-0.008806,0.334977,-0.326166,0.124181,0.124181,0.043384,0.043384,0.359842,-0.057040,-0.137694,-0.001541,0.899030,4.544181
42,0.0042,3.202118,0.213838,0.261898,-0.083814,-0.102650,376.991587,0.125732,0.038672,-0.768888,0.381545,0.467295,-0.014297,-0.017510,0.062437,0.160201,-0.222638,0.125731,0.038670,0.959463,-0.769786,-0.023188,0.341634,-0.318444,0.124181,0.124181,0.043382,0.043382,0.359831,-0.057040,-0.141189,-0.003801,0.899030,4.544349
43,0.0043,3.239817,0.213844,0.261904,-0.083812,-0.102649,376.991636,0.125731,0.038670,-0.768889,0.381533,0.467281,-0.014296,-0.017509,0.054060,0.166295,-0.220355,0.125729,0.038668,0.959464,-0.769793,-0.037535,0.347804,-0.310271,0.124180,0.124180,0.043380,0.043380,0.359819,-0.057040,-0.143983,-0.006039,0.899033,4.544487
44,0.0044,3.277516,0.213848,0.261909,-0.083811,-0.102647,376.991682,0.125729,0.038668,-0.768891,0.381521,0.467266,-0.014296,-0.017509,0.045607,0.172151,-0.217758,0.125727,0.038666,0.959464,-0.769795,-0.051827,0.353479,-0.301657,0.124179,0.124179,0.043378,0.043378,0.359808,-0.057041,-0.146063,-0.008251,0.899037,4.544593
45,0.0045,3.315215,0.213851,0.261912,-0.083810,-0.102646,376.991725,0.125727,0.038666,-0.768893,0.381509,0.467251,-0.014296,-0.017509,0.037088,0.177761,-0.214849,0.125723,0.038664,0.959465,-0.769792,-0.066044,0.358651,-0.292616,0.124176,0.124176,0.043375,0.043375,0.359796,-0.057042,-0.147426,-0.010392,0.899043,4.544666
46,0.0046,3.352914,0.213852,0.261914,-0.083809,-0.102644,376.991764,0.125723,0.038664,-0.768894,0.381497,0.467236,-0.014297,-0.017510,0.028518,0.183117,-0.211634,0.125719,0.038662,0.959465,-0.769784,-0.080166,0.363313,-0.283159,0.124173,0.124173,0.043373,0.043373,0.359784,-0.057043,-0.148073,-0.012475,0.899051,4.544707
47,0.0047,3.390613,0.213851,0.261913,-0.083808,-0.102643,376.991800,0.125719,0.038662,-0.768896,0.381484,0.467221,-0.014298,-0.017511,0.019907,0.188211,-0.208118,0.125714,0.038659,0.959466,-0.769771,-0.094173,0.367458,-0.273302,0.124169,0.124169,0.043370,0.043370,0.359771,-0.057044,-0.147996,-0.014481,0.899060,4.544715
48,0.0048,3.428313,0.213849,0.261911,-0.083807,-0.102642,376.991833,0.125714,0.038659,-0.768897,0.381472,0.467206,-0.014300,-0.017513,0.011269,0.193035,-0.204305,0.125708,0.038657,0.959467,-0.769754,-0.108044,0.371082,-0.263057,0.124164,0.124164,0.043368,0.043368,0.359759,-0.057045,-0.147196,-0.016430,0.899072,4.544691
49,0.0049,3.466012,0.213846,0.261906,-0.083806,-0.102641,376.991861,0.125708,0.038657,-0.768899,0.381460,0.467191,-0.014302,-0.017516,0.002616,0.197584,-0.200200,0.125701,0.038655,0.959467,-0.769731,-0.121761,0.374178,-0.252440,0.124158,0.124158,0.043365,0.043365,0.359747,-0.057046,-0.145670,-0.018325,0.899084,4.544634
50,0.0050,3.503711,0.213841,0.261900,-0.083805,-0.102640,376.991885,0.125701,0.038655,-0.768900,0.381448,0.467176,-0.014304,-0.017519,-0.006040,0.201851,-0.195811,0.125694,0.038652,0.959468,-0.769704,-0.135304,0.376742,-0.241465,0.124152,0.124152,0.043363,0.043363,0.359736,-0.057048,-0.143426,-0.020118,0.899098,4.544544
51,0.0051,3.541410,0.213834,0.261892,-0.083805,-0.102639,376.991905,0.125694,0.038652,-0.768901,0.381436,0.467162,-0.014307,-0.017523,-0.014686,0.205829,-0.191143,0.125686,0.038650,0.959468,-0.769673,-0.148653,0.378772,-0.230148,0.124145,0.124145,0.043360,0.043360,0.359724,-0.057050,-0.140470,-0.021823,0.899114,4.544422
52,0.0052,3.579109,0.213826,0.261882,-0.083804,-0.102639,376.991921,0.125686,0.038650,-0.768903,0.381424,0.467147,-0.014311,-0.017527,-0.023310,0.209513,-0.186203,0.125677,0.038648,0.959469,-0.769637,-0.161791,0.380263,-0.218506,0.124137,0.124137,0.043357,0.043357,0.359713,-0.057051,-0.136807,-0.023436,0.899130,4.544270
53,0.0053,3.616809,0.213817,0.261871,-0.083804,-0.102638,376.991932,0.125677,0.038648,-0.768904,0.381413,0.467134,-0.014315,-0.017532,-0.031899,0.212899,-0.180999,0.125668,0.038646,0.959469,-0.769597,-0.174697,0.381215,-0.206555,0.124128,0.124128,0.043355,0.043355,0.359702,-0.057053,-0.132448,-0.024933,0.899148,4.544086
54,0.0054,3.654508,0.213806,0.261858,-0.083803,-0.102638,376.991939,0.125668,0.038646,-0.768905,0.381402,0.467120,-0.014319,-0.017537,-0.040442,0.215980,-0.175538,0.125658,0.038643,0.959469,-0.769553,-0.187355,0.381626,-0.194311,0.124119,0.124119,0.043352,0.043352,0.359691,-0.057056,-0.127405,-0.026338,0.899167,4.543873
55,0.0055,3.692207,0.213794,0.261843,-0.083803,-0.102637,376.991942,0.125658,0.038643,-0.768906,0.381392,0.467107,-0.014324,-0.017543,-0.048926,0.218753,-0.169827,0.125648,0.038641,0.959470,-0.769505,-0.199746,0.381496,-0.181793,0.124109,0.124109,0.043349,0.043349,0.359681,-0.057058,-0.121688,-0.027650,0.899186,4.543632
56,0.0056,3.729906,0.213781,0.261827,-0.083803,-0.102637,376.991940,0.125648,0.038641,-0.768907,0.381382,0.467095,-0.014329,-0.017549,-0.057338,0.221214,-0.163876,0.125637,0.038639,0.959470,-0.769454,-0.211852,0.380824,-0.169018,0.124099,0.124099,0.043347,0.043347,0.359671,-0.057060,-0.115319,-0.028824,0.899207,4.543363
57,0.0057,3.767605,0.213766,0.261809,-0.083803,-0.102637,376.991933,0.125637,0.038639,-0.768908,0.381372,0.467084,-0.014334,-0.017556,-0.065668,0.223360,-0.157692,0.125625,0.038637,0.959471,-0.769400,-0.223658,0.379612,-0.156004,0.124089,0.124089,0.043344,0.043344,0.359662,-0.057062,-0.108318,-0.029873,0.899228,4.543069
58,0.0058,3.805305,0.213751,0.261790,-0.083803,-0.102637,376.991922,0.125625,0.038637,-0.768909,0.381363,0.467073,-0.014340,-0.017563,-0.073902,0.225187,-0.151285,0.125614,0.038635,0.959471,-0.769343,-0.235145,0.377862,-0.142770,0.124078,0.124078,0.043341,0.043341,0.359653,-0.057065,-0.100708,-0.030777,0.899249,4.542750
59,0.0059,3.843004,0.213734,0.261770,-0.083803,-0.102638,376.991907,0.125614,0.038635,-0.768910,0.381355,0.467063,-0.014346,-0.017570,-0.082030,0.226694,-0.144665,0.125602,0.038633,0.959471,-0.769283,-0.246299,0.375577,-0.129334,0.124066,0.124066,0.043339,0.043339,0.359646,-0.057068,-0.092512,-0.031558,0.899271,4.542408
60,0.0060,3.880703,0.213717,0.261749,-0.083804,-0.102638,376.991887,0.125602,0.038633,-0.768911,0.381348,0.467054,-0.014352,-0.017578,-0.090039,0.227879,-0.137839,0.125590,0.038631,0.959471,-0.769220,-0.257103,0.372759,-0.115715,0.124055,0.124055,0.043337,0.043337,0.359638,-0.057070,-0.083759,-0.032217,0.899293,4.542045
61,0.0061,3.918402,0.213699,0.261726,-0.083804,-0.102639,376.991863,0.125590,0.038631,-0.768911,0.381341,0.467045,-0.014359,-0.017586,-0.097919,0.228739,-0.130820,0.125577,0.038629,0.959471,-0.769156,-0.267541,0.369412,-0.101932,0.124043,0.124043,0.043334,0.043334,0.359632,-0.057073,-0.074483,-0.032707,0.899315,4.541663
62,0.0062,3.956101,0.213680,0.261703,-0.083805,-0.102639,376.991834,0.125577,0.038629,-0.768912,0.381335,0.467038,-0.014365,-0.017594,-0.105659,0.229274,-0.123615,0.125565,0.038628,0.959472,-0.769090,-0.277601,0.365543,-0.088006,0.124031,0.124031,0.043332,0.043332,0.359626,-0.057075,-0.064723,-0.033042,0.899337,4.541264
63,0.0063,3.993800,0.213660,0.261679,-0.083805,-0.102640,376.991802,0.125565,0.038628,-0.768912,0.381330,0.467032,-0.014372,-0.017602,-0.113246,0.229483,-0.116237,0.125553,0.038626,0.959472,-0.769023,-0.287266,0.361155,-0.073956,0.124019,0.124019,0.043330,0.043330,0.359621,-0.057078,-0.054517,-0.033204,0.899359,4.540850
64,0.0064,4.031500,0.213640,0.261654,-0.083806,-0.102641,376.991766,0.125553,0.038626,-0.768912,0.381326,0.467027,-0.014379,-0.017611,-0.120672,0.229366,-0.108694,0.125540,0.038625,0.959472,-0.768955,-0.296524,0.356255,-0.059801,0.124007,0.124007,0.043328,0.043328,0.359617,-0.057081,-0.043909,-0.033214,0.899380,4.540424
65,0.0065,4.069199,0.213619,0.261629,-0.083807,-0.102642,376.991727,0.125540,0.038625,-0.768912,0.381322,0.467022,-0.014386,-0.017619,-0.127925,0.228924,-0.100999,0.125528,0.038624,0.959472,-0.768886,-0.305362,0.350851,-0.045561,0.123995,0.123995,0.043326,0.043326,0.359614,-0.057084,-0.032944,-0.033075,0.899402,4.539986
66,0.0066,4.106898,0.213598,0.261603,-0.083808,-0.102643,376.991683,0.125528,0.038624,-0.768912,0.381320,0.467019,-0.014393,-0.017628,-0.134995,0.228157,-0.093162,0.125516,0.038623,0.959472,-0.768818,-0.313767,0.344949,-0.031257,0.123983,0.123983,0.043325,0.043325,0.359612,-0.057086,-0.021675,-0.032742,0.899423,4.539541
67,0.0067,4.144597,0.213577,0.261577,-0.083809,-0.102644,376.991637,0.125516,0.038623,-0.768912,0.381318,0.467018,-0.014400,-0.017637,-0.141872,0.227067,-0.085195,0.125504,0.038622,0.959472,-0.768749,-0.321727,0.338559,-0.016909,0.123972,0.123972,0.043323,0.043323,0.359611,-0.057089,-0.010162,-0.032231,0.899443,4.539090
68,0.0068,4.182296,0.213556,0.261551,-0.083810,-0.102646,376.991587,0.125504,0.038622,-0.768912,0.381318,0.467017,-0.014407,-0.017645,-0.148547,0.225655,-0.077108,0.125493,0.038621,0.959471,-0.768681,-0.329231,0.331689,-0.002536,0.123960,0.123960,0.043322,0.043322,0.359610,-0.057092,0.001537,-0.031541,0.899462,4.538636
69,0.0069,4.219996,0.213535,0.261526,-0.083811,-0.102647,376.991535,0.125493,0.038621,-0.768911,0.381318,0.467017,-0.014414,-0.017654,-0.155010,0.223923,-0.068913,0.125482,0.038620,0.959471,-0.768614,-0.336269,0.324348,0.011840,0.123949,0.123949,0.043321,0.043321,0.359611,-0.057094,0.013359,-0.030652,0.899481,4.538181
70,0.0070,4.257695,0.213514,0.261500,-0.083812,-0.102649,376.991480,0.125482,0.038620,-0.768911,0.381320,0.467019,-0.014421,-0.017662,-0.161253,0.221875,-0.060622,0.125471,0.038620,0.959471,-0.768548,-0.342831,0.316548,0.026200,0.123938,0.123938,0.043320,0.043320,0.359612,-0.057097,0.025237,-0.029594,0.899499,4.537728
71,0.0071,4.295394,0.213493,0.261474,-0.083813,-0.102650,376.991423,0.125471,0.038620,-0.768910,0.381322,0.467022,-0.014428,-0.017670,-0.167266,0.219512,-0.052246,0.125461,0.038620,0.959471,-0.768485,-0.348907,0.308299,0.040523,0.123928,0.123928,0.043320,0.043320,0.359615,-0.057099,0.037102,-0.028371,0.899516,4.537279
