"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0059,0.2135164389,0.2615031635,-0.08384229659,-0.1026854228,376.990486,0.1255941328,0.03868100138,-0.7688722117,0.3816630442,0.467439856,-0.01439202346,-0.01762655692,0.125606232,0.03868213656,0.9594563468,-0.7688753135
0.006,0.2135376831,0.2615291822,-0.08384119506,-0.1026840737,376.9905304,0.1256063108,0.03868213707,-0.7688722168,0.3816648699,0.467442092,-0.01438477024,-0.01761767358,0.1256181598,0.03868308551,0.9594563947,-0.7689444568
0.0061,0.2135590577,0.2615553607,-0.08383998416,-0.1026825906,376.9905781,0.1256182387,0.03868308603,-0.7688723415,0.3816657046,0.4674431143,-0.01437758004,-0.01760886742,0.1256297725,0.0386838445,0.9594564882,-0.769013104
0.0062,0.2135804389,0.2615815472,-0.0838386734,-0.1026809853,376.9906288,0.1256298513,0.03868384502,-0.7688725845,0.3816655557,0.4674429319,-0.01437049361,-0.01760018834,0.1256410074,0.03868441233,0.9594566266,-0.769080869
0.0063,0.2136017042,0.2616075918,-0.08383727312,-0.1026792703,376.9906822,0.1256410862,0.03868441285,-0.7688729443,0.381664436,0.4674415606,-0.0143635487,-0.01759168261,0.1256518046,0.03868478948,0.9594568089,-0.769147375
0.0064,0.2136227333,0.261633347,-0.08383579403,-0.1026774588,376.9907379,0.1256518834,0.03868479,-0.7688734184,0.3816623637,0.4674390226,-0.01435678772,-0.01758340213,0.125662108,0.03868497547,0.9594570341,-0.7692122574
0.0065,0.2136434085,0.2616586689,-0.08383424692,-0.102675564,376.9907957,0.1256621869,0.03868497599,-0.7688740037,0.381659362,0.4674353462,-0.01435024552,-0.01757538961,0.1256718643,0.0386849733,0.9594573006,-0.7692751644
0.0066,0.2136636157,0.2616834175,-0.08383264369,-0.1026736004,376.9908551,0.1256719432,0.03868497382,-0.7688746968,0.3816554581,0.4674305649,-0.01434395409,-0.01756768421,0.1256810234,0.03868478703,0.959457607,-0.7693357587
0.0067,0.2136832444,0.2617074577,-0.08383099594,-0.1026715823,376.9909158,0.1256811023,0.03868478755,-0.7688754935,0.381650683,0.4674247166,-0.01433794712,-0.0175603272,0.125689539,0.03868442023,0.9594579514,-0.7693937193
0.0068,0.2137021888,0.2617306597,-0.08382931496,-0.1026695236,376.9909774,0.1256896179,0.03868442075,-0.7688763889,0.381645072,0.4674178446,-0.01433225025,-0.01755334999,0.1256973683,0.03868387954,0.9594583318,-0.7694487422
0.0069,0.2137203477,0.2617528998,-0.08382761238,-0.1026674383,376.9910397,0.1256974472,0.03868388006,-0.7688773779,0.3816386634,0.4674099957,-0.01432689685,-0.01754679344,0.1257044731,0.0386831686,0.959458746,-0.7695005423
0.007,0.2137376254,0.2617740606,-0.08382589883,-0.1026653397,376.9911022,0.1257045521,0.03868316912,-0.7688784547,0.381631499,0.4674012212,-0.01432190946,-0.01754068516,0.1257108187,0.03868229531,0.9594591915,-0.7695488541
0.0071,0.2137539317,0.2617940316,-0.08382418586,-0.1026632417,376.9911646,0.1257108976,0.03868229582,-0.7688796131,0.3816236227,0.4673915748,-0.01431730995,-0.01753505193,0.1257163739,0.03868126706,0.9594596659,-0.7695934318
0.0072,0.2137691825,0.2618127099,-0.08382248393,-0.1026611573,376.9912265,0.1257164528,0.03868126758,-0.7688808466,0.3816150811,0.4673811135,-0.01431311972,-0.01752991998,0.1257211124,0.0386800912,0.9594601665,-0.7696340512
0.0073,0.2137832997,0.2618299999,-0.08382080297,-0.1026590985,376.9912877,0.1257211913,0.03868009172,-0.7688821482,0.381605923,0.4673698971,-0.01430935633,-0.01752531078,0.1257250115,0.0386787761,0.9594606905,-0.7696705093
0.0074,0.2137962119,0.261845814,-0.08381915263,-0.1026570773,376.9913478,0.1257250905,0.03867877662,-0.7688835105,0.3815961988,0.4673579874,-0.01430603371,-0.01752124141,0.1257280528,0.03867733081,0.9594612349,-0.7697026256
0.0075,0.2138078544,0.2618600731,-0.08381754186,-0.1026551045,376.9914064,0.1257281317,0.03867733133,-0.768884926,0.3815859611,0.4673454489,-0.01430316993,-0.01751773402,0.1257302225,0.03867576247,0.9594617968,-0.7697302427
0.0076,0.2138181693,0.2618727063,-0.08381597868,-0.10265319,376.9914633,0.1257303015,0.03867576298,-0.7688863868,0.381575264,0.4673323477,-0.01430077532,-0.01751480123,0.1257315111,0.03867408073,0.9594623729,-0.7697532264
0.0077,0.2138271059,0.2618836513,-0.08381447139,-0.102651344,376.9915181,0.12573159,0.03867408125,-0.7688878848,0.3815641627,0.4673187513,-0.01429885719,-0.01751245201,0.1257319125,0.03867229547,0.9594629602,-0.7697714657
0.0078,0.2138346206,0.2618928549,-0.08381302723,-0.1026495753,376.9915707,0.1257319915,0.03867229599,-0.7688894118,0.3815527131,0.4673047285,-0.01429742457,-0.01751069742,0.1257314258,0.03867041526,0.9594635554,-0.7697848734
0.0079,0.2138406771,0.2619002726,-0.08381165254,-0.1026478916,376.9916206,0.1257315047,0.03867041578,-0.7688909592,0.3815409728,0.4672903496,-0.01429647855,-0.01750953878,0.1257300535,0.03866845099,0.9594641552,-0.7697933861
