"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0231,2.137516401,0.2132853691,0.261220162,-0.0837147661,-0.1025292304,376.990804,0.1256140923,0.03866385987,-0.7692021096,0.3821385565,0.4680222372,-0.01442197145,-0.01766323557,0.2230764714,-0.06622209018,-0.1568545407,0.1256175263,0.03866478765,0.9595831984,-0.7691566713,0.322608958,0.01645671141,-0.3391329955
0.0232,2.175215482,0.213290996,0.2612270534,-0.08371479682,-0.1025292681,376.9908172,0.1256176049,0.03866478817,-0.769202031,0.3821401909,0.4680242389,-0.01441901639,-0.01765961638,0.2209503389,-0.05790677003,-0.1630437245,0.1256210317,0.03866561052,0.9595831811,-0.7691761131,0.3146418077,0.03084851728,-0.3455558807
0.0233,2.212914564,0.2132967925,0.2612341527,-0.08371467345,-0.102529117,376.990832,0.1256211103,0.03866561104,-0.7692019862,0.3821415368,0.4680258874,-0.01441601279,-0.01765593773,0.2185099656,-0.04950855463,-0.1690015625,0.1256245102,0.03866632242,0.959583177,-0.7691957606,0.306227039,0.04519655018,-0.3514872803
0.0234,2.250613648,0.213302727,0.2612414209,-0.08371439609,-0.1025287773,376.9908485,0.1256245888,0.03866632294,-0.7692019753,0.3821425858,0.4680271721,-0.01441297308,-0.01765221487,0.2157587594,-0.04103937589,-0.1747195307,0.1256279419,0.03866692051,0.959583186,-0.7692155041,0.2973766394,0.05948035437,-0.3569187284
0.0235,2.288312734,0.2133087666,0.2612488179,-0.08371396609,-0.1025282506,376.9908666,0.1256280205,0.03866692103,-0.7692019987,0.38214333,0.4680280836,-0.01440992001,-0.01764847562,0.2127005731,-0.03251127345,-0.1801894424,0.1256313076,0.03866739882,0.959583208,-0.7692352335,0.2881032168,0.07367957364,-0.3618424793
0.0236,2.326011822,0.2133148778,0.2612563026,-0.08371338483,-0.1025275387,376.990886,0.1256313862,0.03866739933,-0.769202056,0.3821437644,0.4680286156,-0.01440686796,-0.01764473765,0.2093397013,-0.02393637957,-0.1854034597,0.125634588,0.03866775552,0.9595832431,-0.7692548379,0.2784199861,0.08777397055,-0.3662515132
0.0237,2.363710911,0.2133210265,0.2612638332,-0.08371265578,-0.1025266458,376.9909068,0.1256346666,0.03866775604,-0.7692021472,0.3821438846,0.4680287628,-0.0144038331,-0.01764102072,0.2056808732,-0.01532689972,-0.1903541065,0.125637764,0.03866798839,0.959583291,-0.7692742062,0.2683407526,0.1017434565,-0.3701395482
0.0238,2.401410003,0.2133271784,0.2612713676,-0.08371178247,-0.1025255763,376.9909289,0.1256378426,0.03866798891,-0.7692022717,0.382143689,0.4680285232,-0.01440083367,-0.01763734719,0.2017292474,-0.006695095823,-0.1950342795,0.1256408174,0.03866809532,0.9595833514,-0.7692932285,0.2578798816,0.1155681244,-0.3735010489
0.0239,2.439109097,0.2133332986,0.2612788634,-0.08371076921,-0.1025243353,376.990952,0.125640896,0.03866809583,-0.7692024288,0.3821431745,0.4680278931,-0.01439788311,-0.01763373349,0.1974904051,0.001946731288,-0.199437259,0.1256437292,0.03866807612,0.9595834241,-0.7693117946,0.2470522967,0.1292282696,-0.3763312354
0.024,2.476808194,0.2133393526,0.261286278,-0.08370962133,-0.1025229294,376.990976,0.1256438078,0.03866807664,-0.7692026178,0.382142344,0.468026876,-0.01439500391,-0.01763020721,0.1929703416,0.01058626041,-0.2035567191,0.1256464831,0.03866792842,0.9595835086,-0.769329798,0.2358734397,0.1427044313,-0.3786260909
0.0241,2.514507293,0.2133453057,0.2612935689,-0.08370834427,-0.1025213653,376.991001,0.1256465618,0.03866792894,-0.7692028375,0.3821412012,0.4680254764,-0.01439221097,-0.01762678657,0.1881754602,0.01921116651,-0.2073867382,0.125649063,0.03866765351,0.9595836045,-0.7693471347,0.2243592523,0.1559774123,-0.3803823649
0.0242,2.552206394,0.2133511236,0.2613006944,-0.08370694535,-0.102519652,376.9910266,0.1256491416,0.03866765403,-0.7692030868,0.3821397499,0.4680236988,-0.01438951908,-0.01762348969,0.1831125622,0.02780914036,-0.2109218081,0.1256514528,0.0386672527,0.9595837112,-0.769363703,0.2125261594,0.1690283075,-0.3815975798
0.0243,2.589905498,0.2133567729,0.2613076134,-0.08370543205,-0.1025177986,376.9910528,0.1256515315,0.03866725322,-0.7692033643,0.3821379971,0.4680215521,-0.0143869455,-0.01762033772,0.1777888366,0.03636790613,-0.2141568424,0.1256536384,0.03866672719,0.9595838282,-0.7693794058,0.2003910374,0.1818385343,-0.3822700337
0.0244,2.627604604,0.2133622208,0.2613142857,-0.08370381235,-0.1025158149,376.9910793,0.125653717,0.03866672771,-0.7692036685,0.382135951,0.4680190462,-0.01438450455,-0.01761734818,0.1722118519,0.04487523925,-0.2170871847,0.1256556062,0.03866607975,0.9595839548,-0.7693941499,0.1879711925,0.1943898588,-0.3823988023
0.0245,2.665303714,0.2133674354,0.2613206722,-0.0837020952,-0.1025137118,376.9911062,0.1256556848,0.03866608027,-0.7692039977,0.3821336224,0.4680161942,-0.01438220926,-0.01761453704,0.1663895438,0.05331898499,-0.2197086161,0.1256573439,0.03866531402,0.9595840903,-0.7694078472,0.1752843402,0.206664416,-0.3819837401
