"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107I","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0063,0.2294387345,0.2810039133,-0.008589883456,-0.01052041571,376.990588,376.991143,0.1224249999,0.04804345284,-0.7688771802,0.3816225288,0.4673902349,-0.01431864987,-0.01753669299,0.1257143359,0.03868172914,0.9594587209,-0.7695770825
0.0064,0.2294529097,0.2810212744,-0.008583108102,-0.01051211763,376.9907133,376.9912052,0.122431308,0.04804269326,-0.7688783896,0.3816142032,0.4673800382,-0.01431432092,-0.01753139113,0.1257193496,0.03868060162,0.9594592132,-0.7696190478
0.0065,0.2294660445,0.2810373611,-0.008576716658,-0.01050428974,376.9908407,376.9912667,0.1224368849,0.04804171809,-0.7688796695,0.3816052446,0.4673690662,-0.01431041287,-0.01752660477,0.125723531,0.03867933217,0.9594597298,-0.7696569168
0.0066,0.2294780725,0.2810520923,-0.008570742797,-0.01049697328,376.9909694,376.9913271,0.1224417024,0.04804053519,-0.7688810126,0.3815957028,0.4673573799,-0.01430694061,-0.01752235213,0.12572686,0.03867792962,0.9594602678,-0.7696905012
0.0067,0.2294889334,0.2810653943,-0.008565217251,-0.0104902059,376.9910988,376.9913863,0.1224457374,0.04803915142,-0.7688824115,0.3815856299,0.4673450432,-0.0143039228,-0.01751865609,0.1257293218,0.03867640109,0.9594608243,-0.7697196362
0.0068,0.2294985733,0.2810772007,-0.008560167711,-0.0104840215,376.991228,376.9914438,0.1224489699,0.04803757578,-0.7688838583,0.3815750794,0.4673321215,-0.01430137065,-0.01751553036,0.125730905,0.03867475611,0.9594613961,-0.7697441796
0.0069,0.2295069448,0.2810874536,-0.008555619748,-0.01047845141,376.9913564,376.9914994,0.122451384,0.04803581798,-0.768885345,0.381564106,0.467318682,-0.0142992921,-0.01751298467,0.1257316024,0.03867300452,0.9594619801,-0.7697640126
0.007,0.2295140068,0.2810961028,-0.008551595599,-0.01047352285,376.9914831,376.9915527,0.1224529681,0.04803388738,-0.7688868635,0.3815527655,0.4673047927,-0.01429769698,-0.01751103105,0.1257314115,0.0386711548,0.9594625731,-0.7697790401
0.0071,0.2295197251,0.2811031062,-0.008548114215,-0.01046925905,376.9916076,376.9916035,0.1224537143,0.04803179556,-0.7688884053,0.381541115,0.4672905238,-0.01429658705,-0.01750967166,0.1257303335,0.03866921783,0.9594631719,-0.7697891906
0.0072,0.229524072,0.2811084301,-0.00854519196,-0.01046568003,376.9917292,376.9916516,0.12245362,0.04802955109,-0.768889962,0.3815292122,0.4672759459,-0.01429597199,-0.01750891837,0.1257283749,0.03866720085,0.959463773,-0.7697944173
